name,language,phoneNumber
Kevin_Carter,Avestan,001-713-790-4578x8725
Christopher_Green,Nepali,828-699-3755x09945
Jonathan_Christensen,Icelandic,(651)490-9276
Rodney_Henderson,Tsonga,254.294.3482
Stacey_Chavez,Uzbek,648-534-3062x4977
Chad_Hale,Xhosa,122.462.9307x52843
Carol_Espinoza,Quechua,1771782307
Craig_Mora,Kannada,441.317.0605
Elizabeth_Oliver,Fulah,750-963-0284x30206
Steven_Lee,Avaric,351-232-3518
Sarah_Gates,Kikuyu,+1-956-689-4320x362
Vickie_Underwood,Venda,(316)236-4207x997
Richard_Ramos,Rundi,+1-579-811-6219x0023
Tracy_Walker,Samoan,001-522-184-9964x37393
Hannah_Garrett,Romansh,763.091.2742
Darryl_Swanson,Bashkir,702-655-9595x8084
Andrew_Murray,Oromo,149.730.3493x21880
Barbara_Wiley,Interlingue,128-765-1944
Kyle_Kent,Azerbaijani,001-848-719-6257
Leah_Escobar,Bambara,(370)501-4812x421
Jessica_Rivas,Navajo,+1-331-908-8625
James_George,Latin,4074096026
Rebecca_Williams,Occitan,(019)312-7645x539
Charles_Morris,Malayalam,001-592-222-5102
Theresa_Morrison,Assamese,+1-527-499-8809x40674
Donna_Rosales,Hausa,9993654323
David_Erickson,Tonga,096-666-7159
Pamela_Mcgee,Kikuyu,001-186-749-0224x49095
Renee_Gardner,Azerbaijani,937-215-4398x31978
Cristina_Carpenter,Chinese,(206)718-7424
Christopher_Yoder,Somali,206.461.2359x953
Denise_Reed,French,140-787-4528x62415
Margaret_Rice,Manx,231.526.4276x59794
Hayley_Escobar,Interlingua,539-661-4217
Joanne_Walsh,Kanuri,795.912.0807
Raymond_Brooks,Mongolian,611-749-7362x0284
Patrick_Ray,Faroese,+1-979-589-4626x506
Emily_Adams,Sanskrit,442.982.6108x2119
Alexis_Lee,Sundanese,487.170.9652
Benjamin_Hayes,Indonesian,+1-581-886-1709x276
Brad_Jackson,Vietnamese,3625596812
Bobby_Gomez,Sindhi,1927508463
Gail_Hooper,North Ndebele,265.402.6989x84012
Thomas_Nelson,Manx,(571)427-7432
Alicia_Evans,Galician,+1-379-884-8698x4701
Kristin_Bowers,Breton,252.289.8035x73570
Anthony_Dawson,Azerbaijani,(399)204-0487x9462
Cheryl_Reid,Kinyarwanda,+1-784-442-0411
Seth_Hernandez,Bihari languages,517.790.3133x9580
Garrett_Martinez,Chinese,+1-852-681-4111x1022
Vanessa_Williams,Urdu,294.156.7548x5583
Richard_Drake,Xhosa,(786)262-6595x76459
Joshua_Walter,Kashmiri,599-841-2854
Nathan_James,Somali,(049)457-2457x9822
Isaiah_Morris,Yoruba,+1-588-313-8914
Edward_Alexander,Polish,350.415.0447x59482
Nicholas_Rojas,Kashmiri,001-983-720-1861
Ronnie_Lawrence,Dutch,884-723-9125
Andrew_Hernandez,Tonga,215.936.7565
Alice_Massey,Slovenian,631.831.6534
Debra_Gibson,French,049.169.9186x2297
Stephen_Miller,Telugu,144-409-5446
Ronald_Harper,Ojibwa,(667)562-0377x6917
Kimberly_Evans,Yoruba,+1-506-669-8106x84131
Tonya_Thompson,Korean,001-742-136-6095x2790
Eric_Baird,Urdu,794.094.0241
Mrs._Wanda_Burns,Maori,(608)631-6060x231
Jamie_Henderson,Venda,001-903-384-9605x2946
Sheila_Allen,Greek,(486)053-1214x89043
Tyler_Johnson_DDS,Slovak,716.247.4417x6245
Christopher_Meyers,Romanian,(616)041-9702x952
Zachary_Gonzales,Avestan,9594738969
Chelsea_Carlson,Kashmiri,482.489.8374x627
Lauren_Herman,Kongo,4456694824
Justin_Murray,Swedish,001-158-366-4322x139
Angela_King,Pushto,269-562-5791x9796
James_Reese,Tibetan,+1-249-891-4548x873
Paul_Parker,Spanish,+1-134-971-3828x390
Paul_Hawkins,Kuanyama,6508848882
Stephanie_Fuller,Oriya,266.668.8901x083
Rachael_Perez,North Ndebele,+1-627-319-2235x458
Johnny_Blackburn_MD,Assamese,+1-900-469-9737x5502
Laurie_Lee,Portuguese,001-303-470-2046x8443
Deborah_Douglas,Telugu,112-247-8231x2821
Sarah_Grant,Belarusian,(822)446-6003x631
Kelsey_Ramirez,Chichewa,0840816117
Mr._Christopher_Pitts_MD,Japanese,001-081-123-6782
Brandon_Wilson,Pali,001-617-610-4587x0060
Nicole_Skinner,Danish,(121)034-4735x065
Taylor_Coleman,Hausa,001-419-108-2532x645
Michael_Hogan,Irish,+1-178-366-3160x508
Catherine_Key,Irish,+1-112-620-3937
Christopher_Stanton,Kalaallisut,(479)811-7701x41605
Kevin_Wright,Breton,(463)015-8196
James_Reynolds,Turkish,8138445164
Jennifer_Haynes,Chinese,3606145037
Benjamin_Maynard,Chuvash,767-744-2560x64290
Anthony_Mejia_DVM,Tibetan,(745)573-9370x94795
Breanna_Rivera,Indonesian,001-943-888-1241x5030
Jill_Murphy,Nauru,997-755-5715
Clayton_Mcintosh,Indonesian,(621)116-8499x8782
Misty_Warren,South Ndebele,810-206-0579x57276
Paula_Hernandez,Czech,353-793-0719x936
Phillip_Jenkins,Albanian,001-722-644-6444x263
Valerie_Reynolds,Indonesian,997-203-5277
Randall_Hill,Swahili,7909027831
Michelle_Vargas,Cree,001-452-588-5409
Deanna_Abbott,Mongolian,1620888773
Alex_Smith,Church Slavic,(632)083-6894x1981
Stephanie_Alvarado,Cree,+1-494-402-8958
Meghan_Carter,Bulgarian,397-435-5673x46114
James_Morrison,Cree,001-417-749-2787x94130
Marcus_Reynolds,Macedonian,572.144.0558
Julia_Holt,Malay,(623)459-4449
Kaylee_Francis,Pushto,691.778.2258x876
John_Diaz,Norwegian Nynorsk,001-431-755-1417x4513
Aaron_Garcia,Yoruba,890.861.7697x9711
Caroline_Duran,Shona,457.854.1374
Ashley_Hernandez,Faroese,+1-417-208-9256x241
Mrs._Emily_Anderson,Malagasy,+1-501-766-7044x9627
Tammie_Schwartz,Komi,544.171.3786x937
Rebecca_Melton,Maltese,683.752.4516
Sarah_Munoz,Marshallese,406-917-8832
Jennifer_Gardner,Ossetian,001-807-801-7107x1813
Eric_Archer,Kazakh,886-947-0256
Devon_Williams,Belarusian,018.666.6773x61391
Chad_Hart,Luxembourgish,677-384-1804x3145
Craig_Townsend,Igbo,3311572902
Ian_Perkins,Kashmiri,(366)362-5930
Christopher_Ingram,Arabic,001-549-245-9154x7416
Ryan_Thompson,Tamil,(971)689-6639x10743
Robert_Davis,Cornish,(579)208-2953x259
David_Sullivan,Korean,376.191.8461x447
Mary_Clark,Esperanto,834-164-4986x72939
Heather_Oconnor,Sindhi,001-990-627-9279
Clifford_Carlson,Tatar,001-544-363-3892x01172
Latoya_Huang,Dzongkha,001-197-665-0124x609
Patrick_Cook,Somali,001-476-984-0542x21848
Susan_Nguyen,Chinese,+1-590-274-3556x6892
Brian_Anderson,Urdu,290-843-3005x35099
Juan_Chen,Zhuang,170-052-4539x8088
Jodi_Lucero,Telugu,138-905-6996
Brooke_Miller,Lingala,612-183-9639x562
Jerry_Brown,Slovenian,+1-469-179-0613x657
Amanda_Lopez,Catalan,+1-461-708-1834x6806
Christina_Li,Maltese,0236606434
Dana_Mitchell,Occitan,(158)781-6950x229
Robert_Ellis,Swahili,007.334.1510x65638
Caroline_Jones,Central Khmer,+1-352-062-0502x672
Jessica_Alvarez,Javanese,639-227-7764x442
Timothy_Frederick,Chuvash,+1-754-558-1484
Matthew_Bates,Hausa,153.290.2113x896
Tony_Medina,Akan,488.740.1975x7109
Lori_Valencia,Swedish,539.398.6357x50816
Michael_Vaughn,Luxembourgish,+1-834-583-7080x953
Andres_Cooper,Finnish,(684)848-6582
Heidi_Chen,Belarusian,5144365013
Yvonne_Abbott,Kinyarwanda,(797)319-8451
Robin_Price,Maori,8730603461
Bryan_Long,Romanian,710-012-9926
Kendra_Miles,Tajik,068.396.0683x5430
Whitney_Simpson,Corsican,+1-128-520-0272x92069
Matthew_Brown,Serbian,+1-146-662-3088x0867
Megan_Dean,English,956.822.9913x09157
Benjamin_Parker,Slovenian,+1-743-204-2636
Brenda_Malone,Church Slavic,4444775711
Ann_Silva,Inupiaq,001-287-487-6836
Morgan_Nunez,Gujarati,980.929.6635x0035
Brian_Gonzales,Corsican,942-660-6258
Michael_Cooper,Armenian,(810)516-1899x7165
Kristy_Clark,Swati,(699)714-6932
Angela_Welch,Indonesian,048-000-1425x895
Robert_Higgins,Bislama,+1-422-322-8462x3384
James_Carrillo,Icelandic,346-536-7193x5361
Alexandra_Logan,Albanian,+1-872-812-3235x08303
Joshua_Johnson,Norwegian Nynorsk,(099)229-1736x0785
Catherine_Douglas,Cree,(960)675-8335
Carolyn_Carter,Norwegian,(365)825-1083
Nicole_Norris,Ojibwa,897.381.7981
David_Tapia,Corsican,233.854.5043
Melissa_Good,Ojibwa,577.366.1213
Brendan_Robinson,Hungarian,811.023.2403x24168
Emily_Malone,Kurdish,(710)534-9086x21480
Derrick_Rodriguez,Kikuyu,001-024-299-8065x6061
Kelly_Maxwell,Persian,001-894-101-3462x9224
Kathy_Patterson,Malagasy,902.348.6665x0897
Kimberly_Rice,Sichuan Yi,673-355-1149x5873
Corey_Richards,Chechen,(060)040-8840x16264
Peter_Medina,Aymara,(843)758-4698x9311
Matthew_Watson,Marshallese,110-594-7108x97761
Brian_Johnson,Swedish,8493159409
Debra_Graves,Italian,(163)126-7438
Diana_Klein,Nauru,8856725630
Diane_Weber,Tajik,+1-674-470-4970
Claudia_Jones,Sindhi,(960)114-6193x16678
Sierra_Lopez,Tibetan,(263)845-4750
Tammy_Whitehead,Swedish,001-840-582-4966x89048
Alexis_Serrano,Igbo,(340)773-8861x686
Gregory_Torres,Pali,+1-709-912-4258x92751
Brenda_Hall,Latvian,(132)067-4047x35814
Sharon_Webb,Marshallese,+1-571-139-0939x8647
Jesse_Arnold,Basque,(607)708-7939x551
Emily_Shepherd,Walloon,(455)631-9926x83922
Zachary_Norris,Urdu,539.414.5010x430
Brittany_Jones,Basque,652-397-1598x448
Blake_Vazquez,Kinyarwanda,280-025-8240x23411
Louis_Wade,Tahitian,885.263.8578
William_Kaiser,Bengali,+1-794-845-5943x280
Kelly_Crawford,Sinhala,(488)359-5259x082
Christine_Gutierrez,Aragonese,333-153-1678x44910
Aaron_Chen,Zhuang,231-034-1950
Connor_Brown,Italian,879.933.7272x506
Jonathan_Porter,Turkmen,816.915.0223x03380
Darryl_Owen,Galician,+1-738-111-4522x0851
Robert_Owens,Kuanyama,(514)472-4712
Cameron_Davis,Somali,+1-132-111-8453x50837
Wendy_Torres,Zulu,228-001-1654
Tanya_Pacheco,Lao,+1-847-407-3654
Mary_Lee,Herero,001-330-527-0489x5550
Elizabeth_Floyd,Somali,140.874.9751x59953
Joseph_Suarez,Chichewa,189-905-0591x6831
Sandra_Walsh,Bulgarian,699.654.9698
Joel_Park,Georgian,(673)722-3030x9989
Lori_Lynn,Afar,+1-003-062-5458x437
Nancy_Hayes,Avaric,870.113.1296x85770
Monica_Benton,Hebrew,6696977614
Toni_Martinez,Herero,(609)778-1530x47007
Jessica_Mcdaniel,Shona,(772)265-2751
Charles_Rose,Czech,001-767-849-9213x059
Jose_Mcbride,Tibetan,248-799-0030x609
Andrew_Moyer,English,001-260-819-0942x6327
